id,nama_kost,alamat,lokasi_jabodetabek,harga,AC,Kasur,Lemari,WiFi,"Wc duduk","Kamar mandi dalam",Listrik,"Luas kamar",gender,deskripsi
11,"Kost Bahagia Lestari","Jln. Bayan No. 631, Bogor Utara, Bogor","Bogor Utara, Bogor",900000,0,1,0,0,1,0,0,"28 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Kasur di Bogor Utara, Bogor"
12,"Kost Harmoni Jaya","Dk. Haji No. 342, Beji, Depok","Beji, Depok",1100000,0,0,0,1,1,0,0,"12 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Wc duduk, WiFi, Luas kamar di Beji, Depok"
13,"Kost Sejahtera Jaya","Jln. Lembong No. 217, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1800000,0,0,0,0,0,1,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Kamar Mandi Dalam di Tangerang Utara, Tangerang"
14,"Kost Indah Baru","Ki. Honggowongso No. 946, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1900000,1,1,0,0,0,0,1,"24 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, Kasur, Listrik di Tangerang Utara, Tangerang"
15,"Kost Sentosa Baru","Dk. Juanda No. 99, Pancoran Mas, Depok","Pancoran Mas, Depok",500000,0,0,0,1,0,0,0,"25 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Dapur Bersama, Luas kamar di Pancoran Mas, Depok"
16,"Kost Nyaman Jaya","Jln. Moch. Yamin No. 585, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",1100000,1,0,0,0,0,1,0,"25 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, AC di Bekasi Selatan, Bekasi"
17,"Kost Sentosa Indah","Gg. Umalas No. 776, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1900000,0,0,0,0,0,0,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Dapur Bersama di Tangerang Utara, Tangerang"
18,"Kost Bahagia Asri","Ds. Baya Kali Bungur No. 190, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",1600000,0,1,0,0,0,0,1,"10 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Listrik, Luas kamar di Bekasi Timur, Bekasi"
19,"Kost Nyaman Utama","Jln. Bahagia No. 428, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",1300000,0,0,0,0,0,1,1,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Listrik di Bekasi Selatan, Bekasi"
20,"Kost Sejahtera Barokah","Jr. Salak No. 895, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1600000,0,1,0,0,0,1,0,"10 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Kasur di Tangerang Selatan, Tangerang"
21,"Kost Wisma Abadi","Psr. Basuki No. 389, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1400000,0,1,0,0,0,0,1,"24 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Kasur, Luas kamar di Tangerang Kota, Tangerang"
22,"Kost Griya Utama","Ds. Banda No. 417, Sukmajaya, Depok","Sukmajaya, Depok",900000,0,0,1,1,0,0,0,"23 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Lemari di Sukmajaya, Depok"
23,"Kost Wisma Baru","Kpg. Sutarto No. 707, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",900000,0,0,1,0,1,0,0,"24 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Lemari di Bekasi Barat, Bekasi"
24,"Kost Nyaman Lestari","Jln. Yohanes No. 524, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1700000,0,1,1,0,0,0,1,"24 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Dapur Bersama, Kasur, Listrik di Tangerang Kota, Tangerang"
25,"Kost Sejahtera Makmur","Gg. Salam No. 406, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1300000,0,0,0,1,0,1,0,"22 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, WiFi di Jakarta Selatan, Jakarta"
26,"Kost Asri Asri","Jln. Cemara No. 581, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",750000,1,0,0,1,1,0,0,"19 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, WiFi, Dapur Bersama, Wc duduk di Tangerang Utara, Tangerang"
27,"Kost Damai Indah","Jr. Kebangkitan Nasional No. 862, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",600000,1,1,0,0,0,0,1,"10 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, AC, Listrik, Kasur di Jakarta Pusat, Jakarta"
28,"Kost Damai Barokah","Dk. Warga No. 79, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1550000,1,1,0,0,0,0,0,"19 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Kasur di Tangerang Utara, Tangerang"
29,"Kost Sejahtera Asri","Dk. Sukajadi No. 913, Bogor Selatan, Bogor","Bogor Selatan, Bogor",800000,0,0,0,0,1,1,0,"26 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Wc duduk, Kamar Mandi Dalam di Bogor Selatan, Bogor"
30,"Kost Damai Selaras","Dk. Basket No. 46, Jakarta Utara, Jakarta","Jakarta Utara, Jakarta",1800000,1,0,0,0,0,1,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, Dapur Bersama, Kamar Mandi Dalam di Jakarta Utara, Jakarta"
31,"Kost Asri Lestari","Jln. Katamso No. 413, Cimanggis, Depok","Cimanggis, Depok",500000,1,0,0,0,0,0,0,"16 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Luas kamar di Cimanggis, Depok"
32,"Kost Asri Lestari","Jln. Salak No. 349, Bogor Utara, Bogor","Bogor Utara, Bogor",1700000,0,0,1,1,0,0,0,"29 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Lemari, WiFi di Bogor Utara, Bogor"
33,"Kost Nyaman Utama","Dk. Pacuan Kuda No. 536, Limo, Depok","Limo, Depok",1600000,0,1,0,0,0,0,0,"10 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Kasur di Limo, Depok"
34,"Kost Griya Selaras","Dk. Reksoninten No. 416, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",2000000,1,1,0,0,0,0,1,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, AC, Listrik di Jakarta Pusat, Jakarta"
35,"Kost Harmoni Indah","Dk. Camar No. 799, Limo, Depok","Limo, Depok",700000,0,0,1,0,1,1,0,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Dapur Bersama, Kamar Mandi Dalam, Wc duduk di Limo, Depok"
36,"Kost Wisma Indah","Gg. Bara No. 268, Bogor Timur, Bogor","Bogor Timur, Bogor",1800000,1,0,0,0,0,0,1,"18 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, AC, Listrik di Bogor Timur, Bogor"
37,"Kost Harmoni Asri","Gg. Bah Jaya No. 563, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1500000,0,0,1,0,0,0,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Lemari di Tangerang Selatan, Tangerang"
38,"Kost Wisma Baru","Ds. Raya Setiabudhi No. 700, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",500000,0,1,0,0,1,0,0,"21 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Wc duduk, Luas kamar, Kasur di Tangerang Utara, Tangerang"
39,"Kost Indah Barokah","Ds. Tambun No. 328, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1700000,1,1,1,0,0,1,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Kasur, Lemari, AC di Jakarta Timur, Jakarta"
40,"Kost Damai Lestari","Jr. Abdul Rahmat No. 675, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",700000,0,0,0,0,1,0,1,"21 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Listrik, Wc duduk di Jakarta Selatan, Jakarta"
41,"Kost Bahagia Asri","Ds. R.E. Martadinata No. 218, Bogor Timur, Bogor","Bogor Timur, Bogor",600000,1,1,0,1,0,0,0,"15 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, AC, Kasur, WiFi di Bogor Timur, Bogor"
42,"Kost Indah Barokah","Gg. Sutami No. 115, Sukmajaya, Depok","Sukmajaya, Depok",900000,0,0,1,1,0,0,1,"24 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Lemari, WiFi, Luas kamar di Sukmajaya, Depok"
43,"Kost Harmoni Jaya","Kpg. Ronggowarsito No. 538, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",800000,1,1,0,1,0,0,0,"18 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Kasur, AC di Bekasi Utara, Bekasi"
44,"Kost Griya Lestari","Psr. Setiabudhi No. 645, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",800000,0,0,0,1,0,1,0,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, WiFi di Bekasi Timur, Bekasi"
45,"Kost Damai Makmur","Kpg. B.Agam 1 No. 239, Bekasi Utara, Bekasi","Bekasi Utara, Bekasi",600000,0,0,1,1,0,0,1,"20 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Listrik, Lemari di Bekasi Utara, Bekasi"
46,"Kost Nyaman Makmur","Psr. Dipatiukur No. 132, Jakarta Utara, Jakarta","Jakarta Utara, Jakarta",2000000,0,0,1,0,0,0,1,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Lemari di Jakarta Utara, Jakarta"
47,"Kost Wisma Jaya","Jln. Gading No. 916, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",1200000,0,0,0,0,1,0,1,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Dapur Bersama, Wc duduk, Luas kamar di Jakarta Barat, Jakarta"
48,"Kost Bahagia Asri","Kpg. Katamso No. 519, Bogor Utara, Bogor","Bogor Utara, Bogor",900000,0,1,1,0,0,0,0,"18 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Kasur di Bogor Utara, Bogor"
49,"Kost Harmoni Jaya","Jr. Barat No. 843, Bogor Tengah, Bogor","Bogor Tengah, Bogor",1600000,0,0,1,0,0,1,0,"19 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Kamar Mandi Dalam di Bogor Tengah, Bogor"
50,"Kost Damai Lestari","Jln. Pattimura No. 15, Sukmajaya, Depok","Sukmajaya, Depok",750000,1,0,0,0,1,0,0,"28 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Wc duduk di Sukmajaya, Depok"
51,"Kost Bahagia Utama","Kpg. Sentot Alibasa No. 902, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1200000,0,1,0,0,0,0,1,"13 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, Listrik, Kasur, Dapur Bersama di Tangerang Selatan, Tangerang"
52,"Kost Indah Utama","Ki. Achmad Yani No. 305, Bogor Barat, Bogor","Bogor Barat, Bogor",1500000,0,0,0,0,0,0,1,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Luas kamar di Bogor Barat, Bogor"
53,"Kost Indah Utama","Kpg. Ters. Jakarta No. 261, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",500000,1,0,0,0,0,0,1,"26 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Listrik di Bekasi Selatan, Bekasi"
54,"Kost Wisma Baru","Psr. Suryo Pranoto No. 963, Bogor Barat, Bogor","Bogor Barat, Bogor",2000000,0,0,0,1,1,1,0,"16 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Kamar Mandi Dalam, Wc duduk di Bogor Barat, Bogor"
55,"Kost Asri Barokah","Jln. Cihampelas No. 799, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",2000000,0,1,0,1,0,1,0,"20 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, Kamar Mandi Dalam, WiFi, Luas kamar di Tangerang Selatan, Tangerang"
56,"Kost Bahagia Makmur","Psr. Otto No. 893, Cimanggis, Depok","Cimanggis, Depok",1550000,0,0,1,0,1,0,0,"23 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Wc duduk di Cimanggis, Depok"
57,"Kost Damai Lestari","Jr. Monginsidi No. 281, Limo, Depok","Limo, Depok",1600000,0,1,0,0,0,1,0,"30 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Luas kamar, Kasur, Kamar Mandi Dalam di Limo, Depok"
58,"Kost Wisma Abadi","Dk. Baja No. 884, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1700000,1,0,1,1,0,0,0,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, WiFi, Lemari, Luas kamar di Tangerang Utara, Tangerang"
59,"Kost Sentosa Abadi","Jln. Imam No. 837, Bogor Timur, Bogor","Bogor Timur, Bogor",1500000,0,0,0,1,1,0,0,"20 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Wc duduk di Bogor Timur, Bogor"
60,"Kost Griya Indah","Psr. Haji No. 838, Jakarta Selatan, Jakarta","Jakarta Selatan, Jakarta",1100000,0,0,0,0,0,1,0,"17 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, Kamar Mandi Dalam, Luas kamar di Jakarta Selatan, Jakarta"
61,"Kost Bahagia Indah","Ki. Bappenas No. 45, Pancoran Mas, Depok","Pancoran Mas, Depok",1400000,0,1,1,0,0,0,0,"28 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Lemari, Kasur di Pancoran Mas, Depok"
62,"Kost Damai Indah","Ds. Bara No. 472, Bogor Utara, Bogor","Bogor Utara, Bogor",1200000,1,1,0,0,0,0,1,"13 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Listrik, Kasur, Luas kamar di Bogor Utara, Bogor"
63,"Kost Sentosa Abadi","Dk. Sumpah Pemuda No. 682, Bogor Timur, Bogor","Bogor Timur, Bogor",1500000,1,0,0,1,1,0,0,"27 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas AC, Wc duduk, WiFi di Bogor Timur, Bogor"
64,"Kost Wisma Indah","Jln. Ikan No. 778, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",2000000,1,0,0,0,0,1,0,"17 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, Kamar Mandi Dalam, Dapur Bersama di Bekasi Selatan, Bekasi"
65,"Kost Bahagia Lestari","Psr. Setiabudhi No. 175, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1550000,0,0,0,0,1,0,1,"28 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Listrik, Wc duduk di Jakarta Timur, Jakarta"
66,"Kost Wisma Makmur","Kpg. Gardujati No. 512, Beji, Depok","Beji, Depok",1700000,0,1,0,1,1,0,0,"13 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Wc duduk, Kasur, Luas kamar di Beji, Depok"
67,"Kost Sejahtera Asri","Jln. Juanda No. 537, Jakarta Pusat, Jakarta","Jakarta Pusat, Jakarta",1400000,0,0,1,0,0,1,1,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Lemari, Listrik di Jakarta Pusat, Jakarta"
68,"Kost Harmoni Baru","Ki. Batako No. 677, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1250000,1,0,0,0,1,1,0,"13 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, AC, Wc duduk di Tangerang Utara, Tangerang"
69,"Kost Sentosa Makmur","Ki. Bah Jaya No. 189, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1500000,1,0,0,0,0,0,1,"17 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, AC, Listrik di Tangerang Kota, Tangerang"
70,"Kost Harmoni Lestari","Gg. Gambang No. 988, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",800000,0,0,0,0,0,1,0,"14 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Dapur Bersama di Jakarta Barat, Jakarta"
71,"Kost Damai Baru","Psr. Baing No. 238, Bekasi Timur, Bekasi","Bekasi Timur, Bekasi",1400000,0,1,1,0,0,0,0,"11 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Lemari, Dapur Bersama, Kasur di Bekasi Timur, Bekasi"
72,"Kost Sentosa Baru","Ki. Bara Tambar No. 806, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1800000,1,0,0,1,0,1,0,"12 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, AC, WiFi, Kamar Mandi Dalam di Tangerang Utara, Tangerang"
73,"Kost Damai Indah","Ds. Ters. Kiaracondong No. 916, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",1200000,0,1,1,0,1,0,0,"20 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Dapur Bersama, Kasur, Lemari di Jakarta Barat, Jakarta"
74,"Kost Asri Lestari","Jr. Cikutra Barat No. 748, Limo, Depok","Limo, Depok",800000,0,0,1,1,0,0,0,"29 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Lemari di Limo, Depok"
75,"Kost Nyaman Selaras","Dk. Jambu No. 671, Bogor Utara, Bogor","Bogor Utara, Bogor",1550000,0,0,0,1,1,0,0,"18 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Wc duduk di Bogor Utara, Bogor"
76,"Kost Wisma Jaya","Jln. Bakau No. 976, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",600000,1,1,0,0,0,1,0,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Kasur, Dapur Bersama, AC di Tangerang Kota, Tangerang"
77,"Kost Sentosa Barokah","Kpg. Gremet No. 292, Pancoran Mas, Depok","Pancoran Mas, Depok",900000,1,1,0,0,0,1,0,"22 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, AC, Kamar Mandi Dalam, Kasur di Pancoran Mas, Depok"
78,"Kost Harmoni Jaya","Jln. Abdullah No. 650, Bekasi Barat, Bekasi","Bekasi Barat, Bekasi",1200000,0,0,0,1,0,1,0,"12 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Kamar Mandi Dalam di Bekasi Barat, Bekasi"
79,"Kost Sentosa Utama","Kpg. Baha No. 993, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",500000,0,0,0,1,0,0,0,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas WiFi, Luas kamar di Tangerang Selatan, Tangerang"
80,"Kost Nyaman Selaras","Dk. Kyai Mojo No. 448, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1400000,0,1,0,1,0,0,0,"25 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, WiFi, Kasur di Tangerang Utara, Tangerang"
81,"Kost Sejahtera Barokah","Dk. Arifin No. 807, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1700000,0,0,0,1,0,1,0,"14 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Kamar Mandi Dalam di Tangerang Selatan, Tangerang"
82,"Kost Indah Lestari","Jln. Haji No. 757, Jakarta Utara, Jakarta","Jakarta Utara, Jakarta",1550000,1,1,0,0,0,0,0,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, Kasur di Jakarta Utara, Jakarta"
83,"Kost Indah Selaras","Gg. Eka No. 288, Jakarta Utara, Jakarta","Jakarta Utara, Jakarta",1200000,1,1,0,0,0,0,0,"24 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, AC, Luas kamar, Kasur di Jakarta Utara, Jakarta"
84,"Kost Harmoni Utama","Gg. Sudiarto No. 535, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",1300000,0,1,0,1,1,0,0,"24 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, WiFi, Kasur di Tangerang Kota, Tangerang"
85,"Kost Sentosa Utama","Ki. Kalimantan No. 718, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",750000,1,0,0,0,1,0,1,"30 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Wc duduk, Listrik, AC, Luas kamar di Jakarta Barat, Jakarta"
86,"Kost Sentosa Lestari","Gg. K.H. Wahid Hasyim (Kopo) No. 425, Tangerang Selatan, Tangerang","Tangerang Selatan, Tangerang",1600000,1,0,0,0,0,1,1,"29 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas AC, Kamar Mandi Dalam, Listrik, Luas kamar di Tangerang Selatan, Tangerang"
87,"Kost Bahagia Jaya","Jln. Pasteur No. 446, Jakarta Utara, Jakarta","Jakarta Utara, Jakarta",500000,1,1,0,1,1,0,0,"29 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Wc duduk, Kasur, WiFi, AC di Jakarta Utara, Jakarta"
88,"Kost Harmoni Utama","Ds. Bawal No. 731, Jakarta Timur, Jakarta","Jakarta Timur, Jakarta",1600000,0,0,0,0,1,1,0,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Dapur Bersama, Wc duduk, Kamar Mandi Dalam di Jakarta Timur, Jakarta"
89,"Kost Wisma Barokah","Ds. Labu No. 292, Bekasi Selatan, Bekasi","Bekasi Selatan, Bekasi",1200000,1,0,0,1,0,0,0,"20 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, AC di Bekasi Selatan, Bekasi"
90,"Kost Damai Makmur","Psr. Jakarta No. 486, Tangerang Kota, Tangerang","Tangerang Kota, Tangerang",900000,0,0,0,1,0,0,1,"14 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, WiFi, Listrik di Tangerang Kota, Tangerang"
91,"Kost Griya Baru","Psr. Panjaitan No. 589, Bogor Selatan, Bogor","Bogor Selatan, Bogor",1200000,1,0,1,0,0,1,0,"28 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kamar Mandi Dalam, Lemari, AC di Bogor Selatan, Bogor"
92,"Kost Damai Makmur","Jr. Bagonwoto  No. 8, Bogor Selatan, Bogor","Bogor Selatan, Bogor",900000,1,0,0,0,0,0,1,"17 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Dapur Bersama, AC, Luas kamar, Listrik di Bogor Selatan, Bogor"
93,"Kost Sentosa Asri","Ki. Rajiman No. 145, Jakarta Barat, Jakarta","Jakarta Barat, Jakarta",1500000,0,1,0,1,0,0,1,"15 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Luas kamar, WiFi, Listrik, Kasur di Jakarta Barat, Jakarta"
94,"Kost Harmoni Utama","Kpg. Bayan No. 800, Pancoran Mas, Depok","Pancoran Mas, Depok",750000,1,0,0,1,0,1,1,"27 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas WiFi, Listrik, Kamar Mandi Dalam, AC di Pancoran Mas, Depok"
95,"Kost Wisma Lestari","Ds. Bakaru No. 507, Limo, Depok","Limo, Depok",1250000,1,1,0,0,0,0,0,"19 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, AC, Luas kamar di Limo, Depok"
96,"Kost Asri Baru","Ds. Sutami No. 908, Bogor Barat, Bogor","Bogor Barat, Bogor",1400000,1,1,0,0,0,0,0,"19 m2",Laki-laki,"Kost untuk Laki-laki dengan fasilitas Kasur, AC, Luas kamar di Bogor Barat, Bogor"
97,"Kost Nyaman Jaya","Gg. Gardujati No. 388, Tangerang Utara, Tangerang","Tangerang Utara, Tangerang",1600000,0,0,0,0,0,1,1,"11 m2",Perempuan,"Kost untuk Perempuan dengan fasilitas Kamar Mandi Dalam, Listrik di Tangerang Utara, Tangerang"
